cluster,subcluster,cell
1,0,866
0,0,867
0,0,868
2,0,869
1,0,870
1,0,871
0,0,872
0,0,873
0,0,874
0,0,875
0,0,876
0,0,877
2,0,878
0,0,879
0,0,880
0,0,881
2,0,882
0,0,883
0,0,884
0,0,885
0,0,886
0,0,887
0,0,888
0,0,889
1,0,890
1,0,891
2,0,892
1,0,893
0,0,894
0,0,895
1,0,896
0,0,897
1,0,898
0,0,899
0,0,900
1,0,901
1,0,902
2,0,903
0,0,904
2,0,905
0,0,906
0,0,907
1,0,908
2,0,909
1,0,910
0,0,911
0,0,912
1,0,913
1,0,914
1,0,915
0,0,916
0,0,917
2,0,918
0,0,919
1,0,920
0,0,921
0,0,922
0,0,923
0,0,924
1,0,925
0,0,926
0,0,927
0,0,928
0,0,929
2,0,930
0,0,931
0,0,932
0,0,933
1,0,934
0,0,935
2,0,936
0,0,937
1,0,938
0,0,939
0,0,940
1,0,941
1,0,942
0,0,943
0,0,944
1,0,945
0,0,946
2,0,947
0,0,948
0,0,949
0,0,950
2,0,951
0,0,952
1,0,953
0,0,954
0,0,955
1,0,956
1,0,957
0,0,958
0,0,959
0,0,960
0,0,961
1,0,962
2,0,963
0,0,964
0,0,965
0,0,966
1,0,967
0,0,968
2,0,969
2,0,970
0,0,971
2,0,972
0,0,973
0,0,974
0,0,975
0,0,976
0,0,977
1,0,978
0,0,979
1,0,980
1,0,981
0,0,982
0,0,983
2,0,984
2,0,985
0,0,986
0,0,987
0,0,988
1,0,989
0,0,990
1,0,991
1,0,992
1,0,993
1,0,994
0,0,995
0,0,996
0,0,997
0,0,998
0,0,999
1,0,1000
1,0,1001
0,0,1002
1,0,1003
0,0,1004
0,0,1005
0,0,1006
0,0,1007
2,0,1008
0,0,1009
0,0,1010
0,0,1011
1,0,1012
0,0,1013
0,0,1014
0,0,1015
0,0,1016
0,0,1017
0,0,1018
2,0,1019
0,0,1020
0,0,1021
0,0,1022
0,0,1023
0,0,1024
1,0,1025
1,0,1026
0,0,1027
0,0,1028
0,0,1029
1,0,1030
0,0,1031
0,0,1032
0,0,1033
0,0,1034
0,0,1035
2,0,1036
2,0,1037
1,0,1038
0,0,1039
0,0,1040
0,0,1041
0,0,1042
0,0,1043
2,0,1044
1,0,1045
0,0,1046
0,0,1047
1,0,1048
1,0,1049
1,0,1050
0,0,1051
0,0,1052
0,0,1053
2,0,1054
1,0,1055
1,0,1056
2,0,1057
2,0,1058
1,0,1059
0,0,1060
2,0,1061
0,0,1062
0,0,1063
1,0,1064
2,0,1065
1,0,1066
0,0,1067
1,0,1068
2,0,1069
1,0,1070
1,0,1071
0,0,1072
2,0,1073
0,0,1074
0,0,1075
0,0,1076
0,0,1077
1,0,1078
0,0,1079
2,0,1080
0,0,1081
0,0,1082
1,0,1083
0,0,1084
0,0,1085
0,0,1086
0,0,1087
0,0,1088
0,0,1089
0,0,1090
1,0,1091
1,0,1092
2,0,1093
1,0,1094
0,0,1095
2,0,1096
0,0,1097
1,0,1098
0,0,1099
0,0,1100
0,0,1101
0,0,1102
0,0,1103
0,0,1104
1,0,1105
0,0,1106
0,0,1107
0,0,1108
1,0,1109
0,0,1110
1,0,1111
1,0,1112
0,0,1113
0,0,1114
0,0,1115
1,0,1116
0,0,1117
1,0,1118
0,0,1119
1,0,1120
0,0,1121
0,0,1122
2,0,1123
0,0,1124
0,0,1125
0,0,1126
0,0,1127
0,0,1128
2,0,1129
0,0,1130
0,0,1131
0,0,1132
1,0,1133
0,0,1134
0,0,1135
0,0,1136
2,0,1137
2,0,1138
2,0,1139
1,0,1140
0,0,1141
0,0,1142
0,0,1143
0,0,1144
2,0,1145
0,0,1146
0,0,1147
2,0,1148
2,0,1149
2,0,1150
0,0,1151
2,0,1152
0,0,1153
0,0,1154
0,0,1155
1,0,1156
0,0,1157
0,0,1158
2,0,1159
0,0,1160
0,0,1161
0,0,1162
2,0,1163
0,0,1164
1,0,1165
1,0,1166
0,0,1167
0,0,1168
0,0,1169
0,0,1170
0,0,1171
1,0,1172
1,0,1173
0,0,1174
2,0,1175
2,0,1176
0,0,1177
1,0,1178
1,0,1179
1,0,1180
0,0,1181
1,0,1182
2,0,1183
0,0,1184
1,0,1185
1,0,1186
0,0,1187
0,0,1188
2,0,1189
0,0,1190
1,0,1191
0,0,1192
0,0,1193
1,0,1194
0,0,1195
2,0,1196
0,0,1197
1,0,1198
1,0,1199
1,0,1200
1,0,1201
0,0,1202
1,0,1203
0,0,1204
0,0,1205
0,0,1206
0,0,1207
0,0,1208
0,0,1209
0,0,1210
0,0,1211
0,0,1212
0,0,1213
0,0,1214
0,0,1215
1,0,1216
0,0,1217
0,0,1218
0,0,1219
0,0,1220
1,0,1221
0,0,1222
0,0,1223
0,0,1224
2,0,1225
0,0,1226
1,0,1227
1,0,1228
0,0,1229
0,0,1230
0,0,1231
1,0,1232
2,0,1233
1,0,1234
0,0,1235
0,0,1236
0,0,1237
0,0,1238
1,0,1239
2,0,1240
1,0,1241
0,0,1242
1,0,1243
1,0,1244
2,0,1245
1,0,1246
2,0,1247
0,0,1248
1,0,1249
0,0,1250
1,0,1251
1,0,1252
0,0,1253
0,0,1254
0,0,1255
2,0,1256
0,0,1257
0,0,1258
0,0,1259
1,0,1260
0,0,1261
1,0,1262
1,0,1263
0,0,1264
0,0,1265
2,0,1266
0,0,1267
0,0,1268
0,0,1269
0,0,1270
0,0,1271
1,0,1272
0,0,1273
0,0,1274
0,0,1275
2,0,1276
0,0,1277
0,0,1278
2,0,1279
0,0,1280
2,0,1281
0,0,1282
1,0,1283
0,0,1284
1,0,1285
0,0,1286
2,0,1287
0,0,1288
0,0,1289
0,0,1290
1,0,1291
1,0,1292
2,0,1293
0,0,1294
0,0,1295
1,0,1296
1,0,1297
0,0,1298
2,0,1299
2,0,1300
2,0,1301
0,0,1302
0,0,1303
0,0,1304
1,0,1305
1,0,1306
1,0,1307
0,0,1308
0,0,1309
0,0,1310
0,0,1311
2,0,1312
0,0,1313
1,0,1314
1,0,1315
0,0,1316
0,0,1317
2,0,1318
0,0,1319
2,0,1320
1,0,1321
0,0,1322
0,0,1323
1,0,1324
1,0,1325
0,0,1326
2,0,1327
1,0,1328
0,0,1329
1,0,1330
0,0,1331
0,0,1332
1,0,1333
0,0,1334
0,0,1335
0,0,1336
0,0,1337
1,0,1338
1,0,1339
0,0,1340
0,0,1341
1,0,1342
1,0,1343
1,0,1344
0,0,1345
2,0,1346
2,0,1347
0,0,1348
0,0,1349
1,0,1350
2,0,1351
2,0,1352
1,0,1353
2,0,1354
0,0,1355
1,0,1356
0,0,1357
0,0,1358
2,0,1359
1,0,1360
0,0,1361
0,0,1362
0,0,1363
0,0,1364
1,0,1365
0,0,1366
0,0,1367
2,0,1368
0,0,1369
0,0,1370
1,0,1371
1,0,1372
2,0,1373
0,0,1374
1,0,1375
0,0,1376
2,0,1377
0,0,1378
0,0,1379
1,0,1380
0,0,1381
0,0,1382
1,0,1383
0,0,1384
0,0,1385
0,0,1386
0,0,1387
0,0,1388
0,0,1389
2,0,1390
0,0,1391
1,0,1392
2,0,1393
1,0,1394
2,0,1395
1,0,1396
0,0,1397
0,0,1398
0,0,1399
1,0,1400
0,0,1401
0,0,1402
2,0,1403
0,0,1404
1,0,1405
0,0,1406
0,0,1407
0,0,1408
1,0,1409
1,0,1410
0,0,1411
2,0,1412
0,0,1413
0,0,1414
0,0,1415
0,0,1416
1,0,1417
0,0,1418
1,0,1419
0,0,1420
1,0,1421
0,0,1422
0,0,1423
0,0,1424
0,0,1425
2,0,1426
1,0,1427
0,0,1428
2,0,1429
1,0,1430
1,0,1431
0,0,1432
0,0,1433
0,0,1434
0,0,1435
2,0,1436
1,0,1437
1,0,1438
1,0,1439
0,0,1440
0,0,1441
2,0,1442
0,0,1443
0,0,1444
0,0,1445
2,0,1446
0,0,1447
0,0,1448
0,0,1449
0,0,1450
2,0,1451
0,0,1452
2,0,1453
1,0,1454
0,0,1455
1,0,1456
2,0,1457
1,0,1458
2,0,1459
2,0,1460
0,0,1461
0,0,1462
0,0,1463
2,0,1464
1,0,1465
1,0,1466
0,0,1467
2,0,1468
1,0,1469
2,0,1470
1,0,1471
2,0,1472
0,0,1473
1,0,1474
1,0,1475
0,0,1476
0,0,1477
1,0,1478
0,0,1479
0,0,1480
0,0,1481
2,0,1482
0,0,1483
0,0,1484
2,0,1485
0,0,1486
2,0,1487
1,0,1488
1,0,1489
0,0,1490
0,0,1491
0,0,1492
0,0,1493
0,0,1494
0,0,1495
0,0,1496
0,0,1497
2,0,1498
0,0,1499
0,0,1500
2,0,1501
1,0,1502
0,0,1503
0,0,1504
1,0,1505
0,0,1506
1,0,1507
1,0,1508
2,0,1509
0,0,1510
0,0,1511
1,0,1512
1,0,1513
0,0,1514
0,0,1515
0,0,1516
1,0,1517
1,0,1518
0,0,1519
2,0,1520
0,0,1521
0,0,1522
1,0,1523
0,0,1524
2,0,1525
0,0,1526
1,0,1527
0,0,1528
0,0,1529
2,0,1530
0,0,1531
2,0,1532
1,0,1533
1,0,1534
0,0,1535
0,0,1536
0,0,1537
1,0,1538
0,0,1539
1,0,1540
0,0,1541
1,0,1542
2,0,1543
0,0,1544
0,0,1545
1,0,1546
0,0,1547
0,0,1548
0,0,1549
1,0,1550
1,0,1551
1,0,1552
0,0,1553
0,0,1554
1,0,1555
1,0,1556
0,0,1557
0,0,1558
0,0,1559
2,0,1560
0,0,1561
1,0,1562
0,0,1563
1,0,1564
0,0,1565
0,0,1566
1,0,1567
0,0,1568
2,0,1569
0,0,1570
0,0,1571
2,0,1572
1,0,1573
0,0,1574
0,0,1575
1,0,1576
1,0,1577
0,0,1578
0,0,1579
0,0,1580
1,0,1581
0,0,1582
0,0,1583
0,0,1584
0,0,1585
0,0,1586
1,0,1587
0,0,1588
0,0,1589
2,0,1590
0,0,1591
1,0,1592
0,0,1593
1,0,1594
0,0,1595
0,0,1596
0,0,1597
1,0,1598
1,0,1599
0,0,1600
2,0,1601
0,0,1602
0,0,1603
1,0,1604
0,0,1605
0,0,1606
0,0,1607
0,0,1608
1,0,1609
0,0,1610
0,0,1611
0,0,1612
1,0,1613
2,0,1614
0,0,1615
1,0,1616
0,0,1617
2,0,1618
0,0,1619
1,0,1620
0,0,1621
0,0,1622
1,0,1623
1,0,1624
1,0,1625
0,0,1626
0,0,1627
0,0,1628
1,0,1629
1,0,1630
0,0,1631
1,0,1632
0,0,1633
1,0,1634
0,0,1635
2,0,1636
1,0,1637
1,0,1638
1,0,1639
2,0,1640
2,0,1641
0,0,1642
0,0,1643
0,0,1644
0,0,1645
1,0,1646
0,0,1647
0,0,1648
0,0,1649
2,0,1650
0,0,1651
0,0,1652
0,0,1653
0,0,1654
2,0,1655
0,0,1656
2,0,1657
0,0,1658
0,0,1659
0,0,1660
0,0,1661
0,0,1662
0,0,1663
1,0,1664
0,0,1665
1,0,1666
0,0,1667
2,0,1668
1,0,1669
2,0,1670
0,0,1671
0,0,1672
0,0,1673
0,0,1674
0,0,1675
1,0,1676
0,0,1677
1,0,1678
0,0,1679
1,0,1680
0,0,1681
1,0,1682
0,0,1683
0,0,1684
1,0,1685
1,0,1686
1,0,1687
2,0,1688
1,0,1689
1,0,1690
0,0,1691
0,0,1692
0,0,1693
2,0,1694
0,0,1695
1,0,1696
2,0,1697
0,0,1698
0,0,1699
1,0,1700
0,0,1701
0,0,1702
1,0,1703
1,0,1704
0,0,1705
0,0,1706
0,0,1707
0,0,1708
0,0,1709
2,0,1710
0,0,1711
0,0,1712
0,0,1713
2,0,1714
0,0,1715
0,0,1716
0,0,1717
1,0,1718
0,0,1719
0,0,1720
1,0,1721
0,0,1722
2,0,1723
1,0,1724
2,0,1725
0,0,1726
0,0,1727
0,0,1728
0,0,1729
0,0,1730
1,0,1731
1,0,1732
0,0,1733
2,0,1734
0,0,1735
1,0,1736
0,0,1737
1,0,1738
0,0,1739
0,0,1740
1,0,1741
1,0,1742
1,0,1743
0,0,1744
1,0,1745
0,0,1746
0,0,1747
1,0,1748
2,0,1749
1,0,1750
2,0,1751
0,0,1752
0,0,1753
0,0,1754
0,0,1755
2,0,1756
0,0,1757
0,0,1758
1,0,1759
2,0,1760
1,0,1761
0,0,1762
1,0,1763
0,0,1764
2,0,1765
1,0,1766
2,0,1767
0,0,1768
0,0,1769
1,0,1770
1,0,1771
0,0,1772
0,0,1773
0,0,1774
2,0,1775
0,0,1776
1,0,1777
1,0,1778
2,0,1779
2,0,1780
0,0,1781
1,0,1782
0,0,1783
0,0,1784
0,0,1785
1,0,1786
1,0,1787
1,0,1788
0,0,1789
1,0,1790
2,0,1791
0,0,1792
0,0,1793
1,0,1794
0,0,1795
0,0,1796
0,0,1797
0,0,1798
1,0,1799
1,0,1800
2,0,1801
0,0,1802
0,0,1803
0,0,1804
1,0,1805
0,0,1806
0,0,1807
0,0,1808
1,0,1809
1,0,1810
0,0,1811
0,0,1812
0,0,1813
2,0,1814
0,0,1815
2,0,1816
0,0,1817
0,0,1818
0,0,1819
1,0,1820
0,0,1821
0,0,1822
0,0,1823
0,0,1824
0,0,1825
0,0,1826
0,0,1827
1,0,1828
1,0,1829
0,0,1830
0,0,1831
1,0,1832
1,0,1833
2,0,1834
1,0,1835
0,0,1836
0,0,1837
1,0,1838
1,0,1839
0,0,1840
0,0,1841
0,0,1842
0,0,1843
0,0,1844
0,0,1845
0,0,1846
0,0,1847
2,0,1848
0,0,1849
2,0,1850
0,0,1851
1,0,1852
2,0,1853
1,0,1854
1,0,1855
2,0,1856
0,0,1857
0,0,1858
0,0,1859
0,0,1860
0,0,1861
0,0,1862
0,0,1863
2,0,1864
2,0,1865
2,0,1866
1,0,1867
0,0,1868
1,0,1869
0,0,1870
0,0,1871
2,0,1872
1,0,1873
0,0,1874
0,0,1875
1,0,1876
1,0,1877
2,0,1878
1,0,1879
0,0,1880
0,0,1881
0,0,1882
0,0,1883
0,0,1884
0,0,1885
0,0,1886
0,0,1887
0,0,1888
0,0,1889
0,0,1890
0,0,1891
1,0,1892
0,0,1893
0,0,1894
1,0,1895
0,0,1896
1,0,1897
0,0,1898
0,0,1899
1,0,1900
1,0,1901
1,0,1902
0,0,1903
2,0,1904
0,0,1905
0,0,1906
2,0,1907
1,0,1908
2,0,1909
1,0,1910
0,0,1911
1,0,1912
0,0,1913
0,0,1914
0,0,1915
0,0,1916
0,0,1917
1,0,1918
0,0,1919
1,0,1920
0,0,1921
0,0,1922
0,0,1923
0,0,1924
0,0,1925
0,0,1926
0,0,1927
1,0,1928
0,0,1929
2,0,1930
1,0,1931
0,0,1932
0,0,1933
0,0,1934
0,0,1935
0,0,1936
0,0,1937
0,0,1938
1,0,1939
0,0,1940
0,0,1941
0,0,1942
0,0,1943
1,0,1944
0,0,1945
2,0,1946
0,0,1947
1,0,1948
1,0,1949
2,0,1950
1,0,1951
0,0,1952
1,0,1953
1,0,1954
0,0,1955
0,0,1956
0,0,1957
0,0,1958
0,0,1959
0,0,1960
1,0,1961
0,0,1962
1,0,1963
1,0,1964
0,0,1965
0,0,1966
0,0,1967
1,0,1968
1,0,1969
0,0,1970
0,0,1971
2,0,1972
0,0,1973
0,0,1974
0,0,1975
1,0,1976
0,0,1977
2,0,1978
0,0,1979
2,0,1980
0,0,1981
1,0,1982
0,0,1983
0,0,1984
2,0,1985
1,0,1986
2,0,1987
2,0,1988
1,0,1989
0,0,1990
0,0,1991
1,0,1992
0,0,1993
0,0,1994
0,0,1995
0,0,1996
0,0,1997
0,0,1998
0,0,1999
