cluster,subcluster,cell
0,0,879
2,0,880
0,0,881
1,0,882
0,0,883
1,0,884
0,0,885
0,0,886
0,0,887
0,0,888
0,0,889
0,0,890
0,0,891
0,0,892
0,0,893
0,0,894
2,0,895
2,0,896
0,0,897
1,0,898
1,0,899
0,0,900
0,0,901
0,0,902
0,0,903
0,0,904
1,0,905
0,0,906
0,0,907
0,0,908
2,0,909
2,0,910
1,0,911
0,0,912
0,0,913
2,0,914
2,0,915
0,0,916
2,0,917
0,0,918
0,0,919
0,0,920
2,0,921
2,0,922
2,0,923
2,0,924
1,0,925
0,0,926
1,0,927
1,0,928
0,0,929
0,0,930
2,0,931
0,0,932
0,0,933
1,0,934
0,0,935
0,0,936
0,0,937
1,0,938
0,0,939
0,0,940
2,0,941
0,0,942
0,0,943
0,0,944
0,0,945
2,0,946
0,0,947
1,0,948
2,0,949
0,0,950
2,0,951
1,0,952
0,0,953
0,0,954
0,0,955
2,0,956
2,0,957
2,0,958
0,0,959
0,0,960
0,0,961
1,0,962
1,0,963
1,0,964
2,0,965
0,0,966
2,0,967
0,0,968
0,0,969
2,0,970
2,0,971
1,0,972
0,0,973
1,0,974
2,0,975
2,0,976
1,0,977
2,0,978
1,0,979
2,0,980
0,0,981
1,0,982
0,0,983
1,0,984
0,0,985
1,0,986
1,0,987
0,0,988
0,0,989
0,0,990
0,0,991
0,0,992
2,0,993
0,0,994
0,0,995
2,0,996
1,0,997
0,0,998
0,0,999
0,0,1000
0,0,1001
0,0,1002
0,0,1003
0,0,1004
0,0,1005
0,0,1006
0,0,1007
0,0,1008
0,0,1009
2,0,1010
0,0,1011
0,0,1012
2,0,1013
0,0,1014
0,0,1015
1,0,1016
1,0,1017
2,0,1018
0,0,1019
1,0,1020
2,0,1021
0,0,1022
2,0,1023
0,0,1024
2,0,1025
0,0,1026
0,0,1027
1,0,1028
2,0,1029
2,0,1030
0,0,1031
1,0,1032
0,0,1033
1,0,1034
0,0,1035
0,0,1036
2,0,1037
1,0,1038
2,0,1039
0,0,1040
0,0,1041
2,0,1042
0,0,1043
0,0,1044
2,0,1045
0,0,1046
1,0,1047
0,0,1048
1,0,1049
0,0,1050
2,0,1051
0,0,1052
0,0,1053
0,0,1054
2,0,1055
0,0,1056
0,0,1057
0,0,1058
0,0,1059
0,0,1060
0,0,1061
0,0,1062
0,0,1063
1,0,1064
0,0,1065
0,0,1066
0,0,1067
0,0,1068
2,0,1069
2,0,1070
1,0,1071
1,0,1072
0,0,1073
0,0,1074
0,0,1075
0,0,1076
0,0,1077
0,0,1078
2,0,1079
0,0,1080
0,0,1081
0,0,1082
1,0,1083
0,0,1084
0,0,1085
0,0,1086
0,0,1087
0,0,1088
0,0,1089
0,0,1090
0,0,1091
0,0,1092
0,0,1093
0,0,1094
0,0,1095
1,0,1096
1,0,1097
2,0,1098
0,0,1099
0,0,1100
0,0,1101
2,0,1102
1,0,1103
0,0,1104
2,0,1105
0,0,1106
0,0,1107
2,0,1108
0,0,1109
0,0,1110
0,0,1111
0,0,1112
0,0,1113
0,0,1114
0,0,1115
1,0,1116
0,0,1117
2,0,1118
0,0,1119
0,0,1120
1,0,1121
0,0,1122
0,0,1123
1,0,1124
0,0,1125
2,0,1126
2,0,1127
0,0,1128
0,0,1129
2,0,1130
2,0,1131
2,0,1132
1,0,1133
1,0,1134
0,0,1135
1,0,1136
2,0,1137
0,0,1138
2,0,1139
0,0,1140
2,0,1141
0,0,1142
0,0,1143
0,0,1144
1,0,1145
0,0,1146
0,0,1147
0,0,1148
0,0,1149
0,0,1150
0,0,1151
0,0,1152
0,0,1153
1,0,1154
0,0,1155
0,0,1156
1,0,1157
0,0,1158
2,0,1159
0,0,1160
2,0,1161
0,0,1162
1,0,1163
2,0,1164
0,0,1165
0,0,1166
0,0,1167
2,0,1168
0,0,1169
2,0,1170
0,0,1171
2,0,1172
2,0,1173
1,0,1174
0,0,1175
0,0,1176
0,0,1177
0,0,1178
0,0,1179
1,0,1180
0,0,1181
1,0,1182
1,0,1183
2,0,1184
1,0,1185
1,0,1186
0,0,1187
2,0,1188
0,0,1189
0,0,1190
1,0,1191
2,0,1192
1,0,1193
1,0,1194
0,0,1195
0,0,1196
0,0,1197
2,0,1198
0,0,1199
0,0,1200
2,0,1201
0,0,1202
0,0,1203
2,0,1204
0,0,1205
2,0,1206
0,0,1207
2,0,1208
2,0,1209
0,0,1210
0,0,1211
0,0,1212
0,0,1213
0,0,1214
0,0,1215
0,0,1216
0,0,1217
1,0,1218
0,0,1219
0,0,1220
1,0,1221
0,0,1222
0,0,1223
0,0,1224
0,0,1225
1,0,1226
2,0,1227
0,0,1228
0,0,1229
2,0,1230
2,0,1231
2,0,1232
0,0,1233
2,0,1234
0,0,1235
0,0,1236
0,0,1237
2,0,1238
0,0,1239
2,0,1240
0,0,1241
0,0,1242
0,0,1243
0,0,1244
0,0,1245
2,0,1246
0,0,1247
0,0,1248
2,0,1249
0,0,1250
0,0,1251
2,0,1252
0,0,1253
0,0,1254
1,0,1255
0,0,1256
0,0,1257
0,0,1258
0,0,1259
0,0,1260
0,0,1261
0,0,1262
0,0,1263
2,0,1264
0,0,1265
0,0,1266
2,0,1267
1,0,1268
2,0,1269
0,0,1270
0,0,1271
0,0,1272
0,0,1273
0,0,1274
0,0,1275
2,0,1276
1,0,1277
2,0,1278
0,0,1279
0,0,1280
1,0,1281
0,0,1282
0,0,1283
0,0,1284
0,0,1285
2,0,1286
0,0,1287
0,0,1288
2,0,1289
1,0,1290
0,0,1291
1,0,1292
0,0,1293
2,0,1294
1,0,1295
0,0,1296
0,0,1297
0,0,1298
0,0,1299
0,0,1300
2,0,1301
2,0,1302
0,0,1303
0,0,1304
0,0,1305
0,0,1306
0,0,1307
0,0,1308
0,0,1309
2,0,1310
0,0,1311
2,0,1312
0,0,1313
2,0,1314
0,0,1315
2,0,1316
0,0,1317
2,0,1318
0,0,1319
2,0,1320
0,0,1321
0,0,1322
0,0,1323
0,0,1324
0,0,1325
1,0,1326
0,0,1327
0,0,1328
0,0,1329
0,0,1330
0,0,1331
0,0,1332
1,0,1333
1,0,1334
0,0,1335
0,0,1336
0,0,1337
2,0,1338
2,0,1339
0,0,1340
2,0,1341
0,0,1342
0,0,1343
2,0,1344
0,0,1345
1,0,1346
0,0,1347
2,0,1348
0,0,1349
2,0,1350
1,0,1351
2,0,1352
1,0,1353
2,0,1354
0,0,1355
2,0,1356
2,0,1357
0,0,1358
1,0,1359
0,0,1360
0,0,1361
0,0,1362
0,0,1363
0,0,1364
2,0,1365
2,0,1366
0,0,1367
0,0,1368
0,0,1369
0,0,1370
2,0,1371
0,0,1372
0,0,1373
1,0,1374
0,0,1375
2,0,1376
0,0,1377
2,0,1378
2,0,1379
0,0,1380
2,0,1381
0,0,1382
1,0,1383
2,0,1384
0,0,1385
2,0,1386
1,0,1387
0,0,1388
0,0,1389
0,0,1390
0,0,1391
0,0,1392
0,0,1393
0,0,1394
0,0,1395
0,0,1396
1,0,1397
0,0,1398
0,0,1399
1,0,1400
2,0,1401
2,0,1402
0,0,1403
0,0,1404
0,0,1405
0,0,1406
0,0,1407
0,0,1408
0,0,1409
1,0,1410
0,0,1411
0,0,1412
0,0,1413
0,0,1414
2,0,1415
0,0,1416
0,0,1417
2,0,1418
0,0,1419
0,0,1420
0,0,1421
0,0,1422
0,0,1423
1,0,1424
0,0,1425
0,0,1426
0,0,1427
1,0,1428
0,0,1429
0,0,1430
0,0,1431
0,0,1432
0,0,1433
0,0,1434
0,0,1435
2,0,1436
0,0,1437
0,0,1438
0,0,1439
0,0,1440
0,0,1441
0,0,1442
0,0,1443
0,0,1444
1,0,1445
2,0,1446
0,0,1447
2,0,1448
0,0,1449
0,0,1450
0,0,1451
0,0,1452
1,0,1453
0,0,1454
0,0,1455
0,0,1456
2,0,1457
0,0,1458
0,0,1459
2,0,1460
2,0,1461
0,0,1462
0,0,1463
0,0,1464
0,0,1465
0,0,1466
0,0,1467
1,0,1468
1,0,1469
0,0,1470
2,0,1471
0,0,1472
2,0,1473
0,0,1474
2,0,1475
0,0,1476
0,0,1477
0,0,1478
0,0,1479
0,0,1480
0,0,1481
1,0,1482
2,0,1483
1,0,1484
1,0,1485
0,0,1486
1,0,1487
0,0,1488
2,0,1489
1,0,1490
0,0,1491
0,0,1492
2,0,1493
0,0,1494
0,0,1495
0,0,1496
0,0,1497
0,0,1498
0,0,1499
0,0,1500
2,0,1501
0,0,1502
0,0,1503
0,0,1504
0,0,1505
0,0,1506
1,0,1507
0,0,1508
0,0,1509
0,0,1510
0,0,1511
0,0,1512
0,0,1513
0,0,1514
0,0,1515
2,0,1516
0,0,1517
2,0,1518
0,0,1519
0,0,1520
2,0,1521
0,0,1522
0,0,1523
0,0,1524
0,0,1525
2,0,1526
2,0,1527
0,0,1528
2,0,1529
0,0,1530
0,0,1531
2,0,1532
0,0,1533
1,0,1534
1,0,1535
0,0,1536
0,0,1537
0,0,1538
1,0,1539
2,0,1540
0,0,1541
1,0,1542
0,0,1543
0,0,1544
0,0,1545
0,0,1546
0,0,1547
1,0,1548
0,0,1549
0,0,1550
2,0,1551
2,0,1552
0,0,1553
1,0,1554
0,0,1555
1,0,1556
0,0,1557
0,0,1558
2,0,1559
1,0,1560
1,0,1561
0,0,1562
2,0,1563
0,0,1564
0,0,1565
0,0,1566
0,0,1567
0,0,1568
2,0,1569
2,0,1570
0,0,1571
0,0,1572
0,0,1573
1,0,1574
0,0,1575
0,0,1576
1,0,1577
0,0,1578
1,0,1579
0,0,1580
2,0,1581
2,0,1582
0,0,1583
0,0,1584
0,0,1585
0,0,1586
0,0,1587
0,0,1588
2,0,1589
2,0,1590
0,0,1591
0,0,1592
0,0,1593
0,0,1594
2,0,1595
1,0,1596
0,0,1597
0,0,1598
0,0,1599
0,0,1600
0,0,1601
0,0,1602
0,0,1603
2,0,1604
0,0,1605
0,0,1606
0,0,1607
0,0,1608
2,0,1609
2,0,1610
0,0,1611
0,0,1612
1,0,1613
0,0,1614
0,0,1615
0,0,1616
0,0,1617
0,0,1618
0,0,1619
1,0,1620
2,0,1621
0,0,1622
0,0,1623
0,0,1624
0,0,1625
1,0,1626
0,0,1627
1,0,1628
2,0,1629
0,0,1630
2,0,1631
0,0,1632
2,0,1633
0,0,1634
0,0,1635
0,0,1636
0,0,1637
2,0,1638
0,0,1639
0,0,1640
0,0,1641
1,0,1642
0,0,1643
0,0,1644
1,0,1645
1,0,1646
0,0,1647
0,0,1648
2,0,1649
0,0,1650
0,0,1651
2,0,1652
0,0,1653
0,0,1654
0,0,1655
2,0,1656
0,0,1657
0,0,1658
0,0,1659
0,0,1660
0,0,1661
0,0,1662
0,0,1663
2,0,1664
0,0,1665
2,0,1666
0,0,1667
1,0,1668
1,0,1669
1,0,1670
2,0,1671
0,0,1672
0,0,1673
0,0,1674
0,0,1675
2,0,1676
0,0,1677
2,0,1678
2,0,1679
2,0,1680
0,0,1681
1,0,1682
0,0,1683
0,0,1684
1,0,1685
0,0,1686
0,0,1687
1,0,1688
2,0,1689
1,0,1690
0,0,1691
0,0,1692
0,0,1693
1,0,1694
0,0,1695
2,0,1696
0,0,1697
0,0,1698
0,0,1699
0,0,1700
0,0,1701
0,0,1702
0,0,1703
0,0,1704
0,0,1705
0,0,1706
0,0,1707
0,0,1708
2,0,1709
1,0,1710
2,0,1711
0,0,1712
2,0,1713
0,0,1714
2,0,1715
2,0,1716
0,0,1717
0,0,1718
0,0,1719
0,0,1720
0,0,1721
0,0,1722
0,0,1723
0,0,1724
2,0,1725
0,0,1726
0,0,1727
0,0,1728
0,0,1729
0,0,1730
0,0,1731
0,0,1732
0,0,1733
0,0,1734
0,0,1735
1,0,1736
2,0,1737
2,0,1738
0,0,1739
0,0,1740
0,0,1741
2,0,1742
0,0,1743
0,0,1744
0,0,1745
1,0,1746
0,0,1747
0,0,1748
0,0,1749
1,0,1750
0,0,1751
0,0,1752
2,0,1753
1,0,1754
1,0,1755
0,0,1756
2,0,1757
0,0,1758
0,0,1759
2,0,1760
2,0,1761
0,0,1762
0,0,1763
0,0,1764
0,0,1765
1,0,1766
1,0,1767
1,0,1768
0,0,1769
0,0,1770
0,0,1771
2,0,1772
2,0,1773
0,0,1774
0,0,1775
2,0,1776
0,0,1777
1,0,1778
0,0,1779
0,0,1780
2,0,1781
0,0,1782
2,0,1783
2,0,1784
0,0,1785
1,0,1786
2,0,1787
0,0,1788
1,0,1789
0,0,1790
0,0,1791
0,0,1792
0,0,1793
2,0,1794
2,0,1795
0,0,1796
0,0,1797
0,0,1798
0,0,1799
1,0,1800
0,0,1801
1,0,1802
0,0,1803
0,0,1804
0,0,1805
2,0,1806
0,0,1807
0,0,1808
0,0,1809
0,0,1810
2,0,1811
0,0,1812
0,0,1813
0,0,1814
2,0,1815
1,0,1816
0,0,1817
0,0,1818
0,0,1819
1,0,1820
2,0,1821
0,0,1822
2,0,1823
2,0,1824
2,0,1825
2,0,1826
0,0,1827
0,0,1828
0,0,1829
2,0,1830
0,0,1831
2,0,1832
2,0,1833
0,0,1834
0,0,1835
0,0,1836
2,0,1837
2,0,1838
0,0,1839
0,0,1840
2,0,1841
1,0,1842
2,0,1843
1,0,1844
0,0,1845
1,0,1846
1,0,1847
1,0,1848
2,0,1849
0,0,1850
0,0,1851
2,0,1852
2,0,1853
0,0,1854
0,0,1855
0,0,1856
2,0,1857
0,0,1858
2,0,1859
2,0,1860
0,0,1861
0,0,1862
0,0,1863
0,0,1864
0,0,1865
0,0,1866
1,0,1867
1,0,1868
0,0,1869
2,0,1870
2,0,1871
0,0,1872
0,0,1873
2,0,1874
0,0,1875
0,0,1876
0,0,1877
0,0,1878
1,0,1879
0,0,1880
0,0,1881
0,0,1882
0,0,1883
0,0,1884
1,0,1885
0,0,1886
0,0,1887
2,0,1888
1,0,1889
0,0,1890
1,0,1891
1,0,1892
1,0,1893
1,0,1894
0,0,1895
0,0,1896
0,0,1897
1,0,1898
0,0,1899
0,0,1900
0,0,1901
0,0,1902
0,0,1903
2,0,1904
1,0,1905
0,0,1906
2,0,1907
0,0,1908
2,0,1909
0,0,1910
0,0,1911
0,0,1912
0,0,1913
0,0,1914
2,0,1915
0,0,1916
2,0,1917
0,0,1918
1,0,1919
0,0,1920
2,0,1921
1,0,1922
0,0,1923
2,0,1924
0,0,1925
0,0,1926
0,0,1927
0,0,1928
0,0,1929
2,0,1930
0,0,1931
0,0,1932
2,0,1933
0,0,1934
0,0,1935
0,0,1936
0,0,1937
0,0,1938
2,0,1939
0,0,1940
2,0,1941
1,0,1942
1,0,1943
0,0,1944
0,0,1945
0,0,1946
0,0,1947
0,0,1948
2,0,1949
2,0,1950
1,0,1951
0,0,1952
0,0,1953
2,0,1954
0,0,1955
0,0,1956
0,0,1957
2,0,1958
0,0,1959
1,0,1960
0,0,1961
0,0,1962
0,0,1963
1,0,1964
1,0,1965
0,0,1966
0,0,1967
0,0,1968
2,0,1969
0,0,1970
2,0,1971
2,0,1972
0,0,1973
0,0,1974
2,0,1975
2,0,1976
0,0,1977
0,0,1978
0,0,1979
0,0,1980
2,0,1981
0,0,1982
2,0,1983
1,0,1984
2,0,1985
0,0,1986
1,0,1987
1,0,1988
1,0,1989
0,0,1990
0,0,1991
0,0,1992
0,0,1993
0,0,1994
1,0,1995
1,0,1996
0,0,1997
0,0,1998
2,0,1999
